"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country/Region,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",sales_num,profit_num,quantity_num,discount_num
25,CA-2019-106320,9/25/2019,9/30/2019,"Standard Class",EB-13870,"Emily Burns",Consumer,"United States",Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table",1044.63,240.26,3.0,0.0
26,CA-2020-121755,1/16/2020,1/20/2020,"Second Class",EH-13945,"Eric Hoffmann",Consumer,"United States","Los Angeles",California,90049,West,OFF-BI-10001634,"Office Supplies",Binders,"Wilson Jones Active Use Binders",11.65,4.22,2.0,0.2
27,CA-2020-121755,1/16/2020,1/20/2020,"Second Class",EH-13945,"Eric Hoffmann",Consumer,"United States","Los Angeles",California,90049,West,TEC-AC-10003027,Technology,Accessories,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,11.77,3.0,0.0
28,US-2019-150630,9/17/2019,9/21/2019,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,-1665.05,7.0,0.5
29,US-2019-150630,9/17/2019,9/21/2019,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,"Office Supplies",Binders,"Avery Recycled Flexi-View Covers for Binding Systems",9.62,-7.05,2.0,0.7
30,US-2019-150630,9/17/2019,9/21/2019,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,15.53,3.0,0.2
31,US-2019-150630,9/17/2019,9/21/2019,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,"Office Supplies",Envelopes,"Poly String Tie Envelopes",3.26,1.1,2.0,0.2
32,US-2019-150630,9/17/2019,9/21/2019,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,"Office Supplies",Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.3,9.71,6.0,0.2
33,US-2019-150630,9/17/2019,9/21/2019,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,"Office Supplies",Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86,-5.72,6.0,0.7
34,US-2019-150630,9/17/2019,9/21/2019,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,"Office Supplies",Art,"Lumber Crayons",15.76,3.55,2.0,0.2
35,CA-2021-107727,10/19/2021,10/23/2021,"Second Class",MA-17560,"Matt Abelman","Home Office","United States",Houston,Texas,77095,Central,OFF-PA-10000249,"Office Supplies",Paper,"Easy-staple paper",29.47,9.95,3.0,0.2
36,CA-2020-117590,12/8/2020,12/10/2020,"First Class",GH-14485,"Gene Hale",Corporate,"United States",Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,"GE 30524EE4",1097.54,123.47,7.0,0.2
37,CA-2020-117590,12/8/2020,12/10/2020,"First Class",GH-14485,"Gene Hale",Corporate,"United States",Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,-147.96,5.0,0.6
38,CA-2019-117415,12/27/2019,12/31/2019,"Standard Class",SN-20710,"Steve Nguyen","Home Office","United States",Houston,Texas,77041,Central,OFF-EN-10002986,"Office Supplies",Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,35.42,9.0,0.2
39,CA-2019-117415,12/27/2019,12/31/2019,"Standard Class",SN-20710,"Steve Nguyen","Home Office","United States",Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.4,-46.98,3.0,0.32
40,CA-2019-117415,12/27/2019,12/31/2019,"Standard Class",SN-20710,"Steve Nguyen","Home Office","United States",Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06,-15.15,3.0,0.3
41,CA-2019-117415,12/27/2019,12/31/2019,"Standard Class",SN-20710,"Steve Nguyen","Home Office","United States",Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,"Plantronics HL10 Handset Lifter",371.17,41.76,4.0,0.2
42,CA-2021-120999,9/10/2021,9/15/2021,"Standard Class",LC-16930,"Linda Cazamias",Corporate,"United States",Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,"Panasonic Kx-TS550",147.17,16.56,4.0,0.2
43,CA-2020-101343,7/17/2020,7/22/2020,"Standard Class",RA-19885,"Ruben Ausman",Corporate,"United States","Los Angeles",California,90049,West,OFF-ST-10003479,"Office Supplies",Storage,"Eldon Base for stackable storage shelf, platinum",77.88,3.89,2.0,0.0
44,CA-2021-139619,9/19/2021,9/23/2021,"Standard Class",ES-14080,"Erin Smith",Corporate,"United States",Melbourne,Florida,32935,South,OFF-ST-10003282,"Office Supplies",Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,9.56,2.0,0.2
45,CA-2020-118255,3/11/2020,3/13/2020,"First Class",ON-18715,"Odella Nelson",Corporate,"United States",Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,19.77,2.0,0.0
46,CA-2020-118255,3/11/2020,3/13/2020,"First Class",ON-18715,"Odella Nelson",Corporate,"United States",Eagan,Minnesota,55122,Central,OFF-BI-10003291,"Office Supplies",Binders,"Wilson Jones Leather-Like Binders with DublLock Round Rings",17.46,8.21,2.0,0.0
47,CA-2018-146703,10/20/2018,10/25/2018,"Second Class",PO-18865,"Patrick O'Donnell",Consumer,"United States",Westland,Michigan,48185,Central,OFF-ST-10001713,"Office Supplies",Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,8.48,4.0,0.0
48,CA-2020-169194,6/20/2020,6/25/2020,"Standard Class",LH-16900,"Lena Hernandez",Consumer,"United States",Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",45.0,4.95,3.0,0.0
49,CA-2020-169194,6/20/2020,6/25/2020,"Standard Class",LH-16900,"Lena Hernandez",Consumer,"United States",Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,6.1,2.0,0.0
50,CA-2019-115742,4/18/2019,4/22/2019,"Standard Class",DP-13000,"Darren Powers",Consumer,"United States","New Albany",Indiana,47150,Central,OFF-BI-10004410,"Office Supplies",Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,17.96,6.0,0.0
51,CA-2019-115742,4/18/2019,4/22/2019,"Standard Class",DP-13000,"Darren Powers",Consumer,"United States","New Albany",Indiana,47150,Central,OFF-LA-10002762,"Office Supplies",Labels,"Avery 485",75.18,35.33,6.0,0.0
52,CA-2019-115742,4/18/2019,4/22/2019,"Standard Class",DP-13000,"Darren Powers",Consumer,"United States","New Albany",Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,"Longer-Life Soft White Bulbs",6.16,2.96,2.0,0.0
53,CA-2019-115742,4/18/2019,4/22/2019,"Standard Class",DP-13000,"Darren Powers",Consumer,"United States","New Albany",Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,17.1,1.0,0.0
54,CA-2020-105816,12/11/2020,12/17/2020,"Standard Class",JM-15265,"Janet Molinari",Corporate,"United States","New York City","New York",10024,East,OFF-FA-10000304,"Office Supplies",Fasteners,"Advantus Push Pins",15.26,6.26,7.0,0.0
55,CA-2020-105816,12/11/2020,12/17/2020,"Standard Class",JM-15265,"Janet Molinari",Corporate,"United States","New York City","New York",10024,East,TEC-PH-10002447,Technology,Phones,"AT&T CL83451 4-Handset Telephone",1029.95,298.69,5.0,0.0
56,CA-2020-111682,6/17/2020,6/18/2020,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,OFF-ST-10000604,"Office Supplies",Storage,"Home/Office Personal File Carts",208.56,52.14,6.0,0.0
57,CA-2020-111682,6/17/2020,6/18/2020,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,OFF-PA-10001569,"Office Supplies",Paper,"Xerox 232",32.4,15.55,5.0,0.0
58,CA-2020-111682,6/17/2020,6/18/2020,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,FUR-CH-10003968,Furniture,Chairs,"Novimex Turbo Task Chair",319.41,7.1,5.0,0.1
59,CA-2020-111682,6/17/2020,6/18/2020,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,OFF-PA-10000587,"Office Supplies",Paper,"Array Parchment Paper, Assorted Colors",14.56,6.99,2.0,0.0
60,CA-2020-111682,6/17/2020,6/18/2020,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,TEC-AC-10002167,Technology,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",30.0,3.3,2.0,0.0
61,CA-2020-111682,6/17/2020,6/18/2020,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,OFF-BI-10001460,"Office Supplies",Binders,"Plastic Binding Combs",48.48,16.36,4.0,0.2
62,CA-2020-111682,6/17/2020,6/18/2020,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,OFF-AR-10001868,"Office Supplies",Art,"Prang Dustless Chalk Sticks",1.68,0.84,1.0,0.0
63,CA-2019-135545,11/24/2019,11/30/2019,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","Los Angeles",California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,6.15,2.0,0.0
64,CA-2019-135545,11/24/2019,11/30/2019,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","Los Angeles",California,90004,West,OFF-BI-10001078,"Office Supplies",Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,9.36,6.0,0.2
65,CA-2019-135545,11/24/2019,11/30/2019,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","Los Angeles",California,90004,West,OFF-PA-10003892,"Office Supplies",Paper,"Xerox 1943",146.73,68.96,3.0,0.0
66,CA-2019-135545,11/24/2019,11/30/2019,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","Los Angeles",California,90004,West,FUR-FU-10000397,Furniture,Furnishings,"Luxo Economy Swing Arm Lamp",79.76,22.33,4.0,0.0
67,US-2019-164175,4/30/2019,5/5/2019,"Standard Class",PS-18970,"Paul Stevenson","Home Office","United States",Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.12,-15.22,5.0,0.3
68,CA-2018-106376,12/5/2018,12/10/2018,"Standard Class",BS-11590,"Brendan Sweed",Corporate,"United States",Gilbert,Arizona,85234,West,OFF-AR-10002671,"Office Supplies",Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,111.3,8.0,0.2
69,CA-2018-106376,12/5/2018,12/10/2018,"Standard Class",BS-11590,"Brendan Sweed",Corporate,"United States",Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,"netTALK DUO VoIP Telephone Service",167.97,62.99,4.0,0.2
70,CA-2020-119823,6/4/2020,6/6/2020,"First Class",KD-16270,"Karen Daniels",Consumer,"United States",Springfield,Virginia,22153,South,OFF-PA-10000482,"Office Supplies",Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,35.66,2.0,0.0
71,CA-2020-106075,9/18/2020,9/23/2020,"Standard Class",HM-14980,"Henry MacAllister",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10004654,"Office Supplies",Binders,"Avery Binding System Hidden Tab Executive Style Index Sets",4.62,1.73,1.0,0.2
72,CA-2021-114440,9/14/2021,9/17/2021,"Second Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Jackson,Michigan,49201,Central,OFF-PA-10004675,"Office Supplies",Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,8.76,3.0,0.0
73,US-2019-134026,4/26/2019,5/2/2019,"Standard Class",JE-15745,"Joel Eaton",Consumer,"United States",Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,"High-Back Leather Manager's Chair",831.94,-114.39,8.0,0.2
74,US-2019-134026,4/26/2019,5/2/2019,"Standard Class",JE-15745,"Joel Eaton",Consumer,"United States",Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,1.21,2.0,0.2
75,US-2019-134026,4/26/2019,5/2/2019,"Standard Class",JE-15745,"Joel Eaton",Consumer,"United States",Memphis,Tennessee,38109,South,OFF-ST-10004123,"Office Supplies",Storage,"Safco Industrial Wire Shelving System",72.78,-18.2,1.0,0.2
76,US-2021-118038,12/9/2021,12/11/2021,"First Class",KB-16600,"Ken Brennan",Corporate,"United States",Houston,Texas,77041,Central,OFF-BI-10004182,"Office Supplies",Binders,"Economy Binders",1.25,-1.93,3.0,0.8
77,US-2021-118038,12/9/2021,12/11/2021,"First Class",KB-16600,"Ken Brennan",Corporate,"United States",Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.71,-5.82,3.0,0.6
78,US-2021-118038,12/9/2021,12/11/2021,"First Class",KB-16600,"Ken Brennan",Corporate,"United States",Houston,Texas,77041,Central,OFF-ST-10000615,"Office Supplies",Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,2.72,3.0,0.2
79,US-2018-147606,11/26/2018,12/1/2018,"Second Class",JE-15745,"Joel Eaton",Consumer,"United States",Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,-14.48,5.0,0.6
80,CA-2020-127208,6/12/2020,6/15/2020,"First Class",SC-20770,"Stewart Carmichael",Corporate,"United States",Decatur,Alabama,35601,South,OFF-AP-10002118,"Office Supplies",Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,56.2,1.0,0.0
81,CA-2020-127208,6/12/2020,6/15/2020,"First Class",SC-20770,"Stewart Carmichael",Corporate,"United States",Decatur,Alabama,35601,South,OFF-BI-10002309,"Office Supplies",Binders,"Avery Heavy-Duty EZD  Binder With Locking Rings",16.74,8.04,3.0,0.0
82,CA-2018-139451,10/12/2018,10/16/2018,"Standard Class",DN-13690,"Duane Noonan",Consumer,"United States","San Francisco",California,94122,West,OFF-AR-10002053,"Office Supplies",Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,4.17,5.0,0.0
83,CA-2018-139451,10/12/2018,10/16/2018,"Standard Class",DN-13690,"Duane Noonan",Consumer,"United States","San Francisco",California,94122,West,OFF-ST-10002370,"Office Supplies",Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,6.2,1.0,0.0
84,CA-2019-149734,9/3/2019,9/8/2019,"Standard Class",JC-16105,"Julie Creighton",Corporate,"United States",Durham,"North Carolina",27707,South,OFF-EN-10000927,"Office Supplies",Envelopes,"Jet-Pak Recycled Peel 'N' Seal Padded Mailers",200.98,62.81,7.0,0.2
85,US-2021-119662,11/13/2021,11/16/2021,"First Class",CS-12400,"Christopher Schild","Home Office","United States",Chicago,Illinois,60623,Central,OFF-ST-10003656,"Office Supplies",Storage,"Safco Industrial Wire Shelving",230.38,-48.95,3.0,0.2
86,CA-2021-140088,5/28/2021,5/30/2021,"Second Class",PO-18865,"Patrick O'Donnell",Consumer,"United States",Columbia,"South Carolina",29203,South,FUR-CH-10000863,Furniture,Chairs,"Novimex Swivel Fabric Task Chair",301.96,33.22,2.0,0.0
87,CA-2021-155558,10/26/2021,11/2/2021,"Standard Class",PG-18895,"Paul Gonzalez",Consumer,"United States",Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,"Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",19.99,6.8,1.0,0.0
88,CA-2021-155558,10/26/2021,11/2/2021,"Standard Class",PG-18895,"Paul Gonzalez",Consumer,"United States",Rochester,Minnesota,55901,Central,OFF-LA-10000134,"Office Supplies",Labels,"Avery 511",6.16,2.96,2.0,0.0
89,CA-2020-159695,4/5/2020,4/10/2020,"Second Class",GM-14455,"Gary Mitchum","Home Office","United States",Houston,Texas,77095,Central,OFF-ST-10003442,"Office Supplies",Storage,"Eldon Portable Mobile Manager",158.37,13.86,7.0,0.2
90,CA-2020-109806,9/17/2020,9/22/2020,"Standard Class",JS-15685,"Jim Sink",Corporate,"United States","Los Angeles",California,90036,West,OFF-AR-10004930,"Office Supplies",Art,"Turquoise Lead Holder with Pocket Clip",20.1,6.63,3.0,0.0
91,CA-2020-109806,9/17/2020,9/22/2020,"Standard Class",JS-15685,"Jim Sink",Corporate,"United States","Los Angeles",California,90036,West,TEC-PH-10004093,Technology,Phones,"Panasonic Kx-TS550",73.58,8.28,2.0,0.2
92,CA-2020-109806,9/17/2020,9/22/2020,"Standard Class",JS-15685,"Jim Sink",Corporate,"United States","Los Angeles",California,90036,West,OFF-PA-10000304,"Office Supplies",Paper,"Xerox 1995",6.48,3.11,1.0,0.0
93,CA-2019-149587,1/31/2019,2/5/2019,"Second Class",KB-16315,"Karl Braun",Consumer,"United States",Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,"Office Supplies",Paper,"Xerox 1999",12.96,6.22,2.0,0.0
94,CA-2019-149587,1/31/2019,2/5/2019,"Second Class",KB-16315,"Karl Braun",Consumer,"United States",Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,16.54,3.0,0.0
95,CA-2019-149587,1/31/2019,2/5/2019,"Second Class",KB-16315,"Karl Braun",Consumer,"United States",Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,"Office Supplies",Binders,"Ibico Standard Transparent Covers",32.96,16.15,2.0,0.0
96,US-2021-109484,11/6/2021,11/12/2021,"Standard Class",RB-19705,"Roger Barcio","Home Office","United States",Portland,Oregon,97206,West,OFF-BI-10004738,"Office Supplies",Binders,"Flexible Leather- Look Classic Collection Ring Binder",5.68,-3.79,1.0,0.7
97,CA-2021-161018,11/9/2021,11/11/2021,"Second Class",PN-18775,"Parhena Norris","Home Office","United States","New York City","New York",10009,East,FUR-FU-10000629,Furniture,Furnishings,"9-3/4 Diameter Round Wall Clock",96.53,40.54,7.0,0.0
98,CA-2021-157833,6/17/2021,6/20/2021,"First Class",KD-16345,"Katherine Ducich",Consumer,"United States","San Francisco",California,94122,West,OFF-BI-10001721,"Office Supplies",Binders,"Trimflex Flexible Post Binders",51.31,17.96,3.0,0.2
99,CA-2020-149223,9/6/2020,9/11/2020,"Standard Class",ER-13855,"Elpida Rittenbach",Corporate,"United States","Saint Paul",Minnesota,55106,Central,OFF-AP-10000358,"Office Supplies",Appliances,"Fellowes Basic Home/Office Series Surge Protectors",77.88,22.59,6.0,0.0
100,CA-2020-158568,8/29/2020,9/2/2020,"Standard Class",RB-19465,"Rick Bensley","Home Office","United States",Chicago,Illinois,60610,Central,OFF-PA-10003256,"Office Supplies",Paper,"Avery Personal Creations Heavyweight Cards",64.62,22.62,7.0,0.2
101,CA-2020-158568,8/29/2020,9/2/2020,"Standard Class",RB-19465,"Rick Bensley","Home Office","United States",Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,"SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",95.98,-10.8,3.0,0.2
102,CA-2020-158568,8/29/2020,9/2/2020,"Standard Class",RB-19465,"Rick Bensley","Home Office","United States",Chicago,Illinois,60610,Central,OFF-BI-10002609,"Office Supplies",Binders,"Avery Hidden Tab Dividers for Binding Systems",1.79,-3.04,3.0,0.8
103,CA-2020-129903,12/1/2020,12/4/2020,"Second Class",GZ-14470,"Gary Zandusky",Consumer,"United States",Rochester,Minnesota,55901,Central,OFF-PA-10004040,"Office Supplies",Paper,"Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",23.92,11.72,4.0,0.0
